question_id,model,prompt_used,ai_answer_raw
Q01,ChatGPT,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti. Apakah hukum menggunakan kaedah khidmat ibu tumpang untuk mendapatkan zuriat menurut Islam?,"Keputusan: HARAM. 
Huraian Ringkas: Penggunaan kaedah khidmat ibu tumpang (surrogacy) untuk mendapatkan zuriat adalah haram menurut hukum Islam, termasuk dalam konteks Malaysia.  

Sebab Pengharaman: 
1. Percampuran nasab (keturunan) – Menimbulkan kekeliruan tentang siapa ibu sebenar (ibu genetik atau ibu yang mengandung dan melahirkan). 
2. Melibatkan pihak ketiga dalam proses reproduksi – Walaupun benih berasal daripada pasangan suami isteri yang sah, penglibatan rahim wanita lain tetap tidak dibenarkan.
 3. Bercanggah dengan prinsip penjagaan keturunan (hifz al-nasab) dalam Maqasid Syariah. 
4. Menimbulkan implikasi hukum berkaitan hak penjagaan, warisan dan hubungan mahram.  

Larangan Berkaitan: Tidak dibenarkan menggunakan rahim wanita lain sama ada secara sukarela atau berbayar.  Tidak dibenarkan walaupun ovum dan sperma adalah daripada pasangan suami isteri yang sah. 

 Ringkasnya, kaedah ibu tumpang tidak dibenarkan sama sekali dalam Islam kerana menjejaskan keturunan dan hukum-hakam berkaitan nasab."
Q01,Gemini,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti. Apakah hukum menggunakan kaedah khidmat ibu tumpang untuk mendapatkan zuriat menurut Islam?,"Di Malaysia, keputusan mengenai isu ini telah diselaraskan melalui fatwa kebangsaan untuk memberi panduan yang jelas kepada umat Islam. 

Keputusan Hukum: Haram

Penggunaan khidmat ibu tumpang (surogasi) untuk mendapatkan zuriat adalah dilarang sama sekali dalam Islam, walaupun benih (sperma dan ovum) tersebut datang daripada pasangan suami isteri yang sah.  

Sebab dan Larangan Utama  Terdapat beberapa faktor utama mengapa kaedah ini tidak dibenarkan mengikut syarak:

Kekeliruan Nasab (Keturunan): Islam amat mementingkan pemeliharaan nasab. Penggunaan rahim wanita lain akan menimbulkan pertikaian tentang siapa ibu kandung yang sah dari segi hukum—apakah pemilik ovum atau wanita yang melahirkan? 

Penyewaan Rahim: Melibatkan unsur perdagangan atau penggunaan anggota badan manusia untuk tujuan yang tidak dibenarkan oleh syarak. 

Isu Aurat dan Kehormatan: Proses ini melibatkan pendedahan aurat dan kemasukan benih lelaki asing (bukan suami kepada ibu tumpang) ke dalam rahim wanita tersebut, yang menyalahi konsep perkahwinan dalam Islam. 

Hak Kewarisan: Kekeliruan status ibu akan memberi kesan kepada pembahagian harta pusaka dan hak perwalian di masa hadapan.  

Alternatif yang Dibenarkan (ART di Malaysia)  Bagi pasangan suami isteri yang menghadapi masalah kesuburan, Islam mengharuskan kaedah Rawatan Kesuburan Berbantu (ART) seperti IVF atau IUI dengan syarat ketat berikut:  
1. Benih Sah: Sperma dan ovum mestilah milik pasangan suami isteri yang sah. 
2. Rahim Isteri: Embrio tersebut wajib dimasukkan semula ke dalam rahim isteri yang memiliki ovum tersebut (bukan wanita lain). 
3. Masih dalam Ikatan Perkahwinan: Rawatan dilakukan ketika pasangan masih dalam ikatan perkahwinan yang sah (bukan selepas perceraian atau kematian suami). 

Nota Penting: Keputusan ini selaras dengan keputusan Muzakarah Jawatankuasa Fatwa Majlis Kebangsaan Bagi Hal Ehwal Ugama Islam Malaysia Kali Ke-80 yang bersidang pada tahun 2008.  Adakah anda ingin saya huraikan lebih lanjut mengenai prosedur IVF yang dibenarkan mengikut garis panduan Islam di Malaysia?"
Q01,Sheikh GPT,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti. Apakah hukum menggunakan kaedah khidmat ibu tumpang untuk mendapatkan zuriat menurut Islam?,"Keputusan: HARAM

Menggunakan kaedah khidmat ibu tumpang (surrogacy) untuk mendapatkan zuriat adalah haram menurut hukum Islam, termasuk dalam konteks ART (Assisted Reproductive Technology) di Malaysia. 

Sebab Pengharaman  
1. Percampuran nasab (keturunan)
 Islam sangat menjaga keturunan (al-nasab). Ibu tumpang menyebabkan kekeliruan tentang siapa ibu sebenar — sama ada ibu genetik (pemilik ovum) atau ibu yang mengandung dan melahirkan.  
2. Bercanggah dengan ketetapan syarak tentang ibu
Allah berfirman: “Ibu-ibu mereka hanyalah perempuan-perempuan yang melahirkan mereka.”   (Surah al-Mujdilah 58:2)     Ayat ini menunjukkan bahawa ibu ialah wanita yang melahirkan anak tersebut. Surrogacy mewujudkan pertindihan peranan ibu yang tidak selaras dengan prinsip ini.  
3. Melibatkan pihak ketiga dalam proses reproduksi pasangan suami isteri
Dalam Islam, zuriat hendaklah terhasil secara eksklusif antara suami dan isteri yang sah. Penglibatan wanita lain sebagai rahim tumpangan dianggap melanggar batas ini. 
4. Membuka ruang kepada pertikaian hak dan hukum
Termasuk isu wali, pewarisan, penjagaan anak, dan hubungan mahram. 

Bentuk yang Termasuk dalam Pengharaman  Semua bentuk ibu tumpang adalah tidak diharuskan, sama ada: 

Menggunakan ovum isteri dan sperma suami, kemudian embrio dimasukkan ke dalam rahim wanita lain.

Menggunakan ovum wanita lain dan rahim wanita lain.

Ibu tumpang secara sukarela atau berbayar.  

Kesimpulan  
Hukum: HARAM
Tidak dibenarkan walaupun pasangan tersebut sah berkahwin.
Tidak dibenarkan walaupun atas alasan tidak mampu mengandung.  Islam sangat menitikberatkan penjagaan nasab dan kemuliaan institusi keluarga. Pasangan yang diuji dengan kesukaran mendapat zuriat dianjurkan untuk bersabar, berikhtiar dengan kaedah yang dibenarkan syarak (seperti IVF antara suami isteri sahaja), serta memperbanyakkan doa.  Semoga Allah mengurniakan ketenangan dan jalan terbaik kepada setiap pasangan yang diuji. "
Q02,ChatGPT,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti. Apakah hukum mencantumkan benih yang dikeluarkan sebelum akad nikah dan dicantumkan dalam tempoh perkahwinan yang sah?,"Keputusan: TIDAK DIHARUSKAN
Huraian Ringkas:
Mencantumkan (persenyawakan) benih yang dikeluarkan sebelum akad nikah, walaupun proses persenyawaan atau pemindahan embrio dibuat selepas perkahwinan yang sah, adalah tidak diharuskan menurut hukum Islam.  

Sebab: 
1. Benih diperoleh ketika tiada ikatan perkahwinan yang sah, maka ia tidak memenuhi syarat hubungan yang dibenarkan syarak. 
2. Menimbulkan isu nasab (keturunan)kerana asal benih tidak berlaku dalam konteks perkahwinan yang sah. 
3. Bertentangan dengan prinsip penjagaan keturunan (hifz al-nasab). 

Larangan Berkaitan:
Tidak dibenarkan menggunakan sperma atau ovum yang dikeluarkan sebelum akad nikah untuk tujuan persenyawaan.

Persenyawaan hanya dibenarkan jika kedua-dua benih diperoleh dalam tempoh perkahwinan yang sah.  

Ringkasnya, walaupun persenyawaan dibuat selepas nikah, hukum tetap tidak diharuskan kerana benih diambil sebelum wujudnya akad yang sah."
Q02,Gemini,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti. Apakah hukum mencantumkan benih yang dikeluarkan sebelum akad nikah dan dicantumkan dalam tempoh perkahwinan yang sah?,"Berdasarkan garis panduan hukum Islam yang diamalkan di Malaysia mengenai Teknologi Reproduksi Berbantu (ART), berikut adalah jawapan bagi persoalan tersebut: 
Keputusan Hukum: Haram / Tidak Diharuskan
Tindakan mencantumkan benih (sperma atau ovum) yang dikeluarkan sebelum akad nikah adalah tidak dibenarkan, walaupun proses pencantuman atau persenyawaan tersebut dilakukan dalam tempoh perkahwinan yang sah.  

Syarat dan Larangan  Islam menetapkan syarat-syarat yang sangat ketat dalam prosedur ART bagi memastikan kesucian nasab (keturunan).
Antara syarat dan larangan yang terlibat dalam isu ini adalah: 

Status Benih Semasa Dikeluarkan: Benih (sperma dan ovum) mestilah dikeluarkan dalam keadaan pasangan tersebut sudah mempunyai ikatan perkahwinan yang sah.

Larangan Penggunaan Benih Pra-Nikah:Benih yang diambil atau disimpan sebelum wujudnya akad nikah dianggap sebagai benih daripada individu yang ""asing"" (bukan suami isteri) pada waktu pengambilan, maka ia tidak boleh digunakan untuk tujuan persenyawaan kemudian hari. 

Pemeliharaan Nasab: Syarak tidak mengiktiraf pencantuman benih yang asal usul pengambilannya di luar ikatan nikah kerana ia boleh menimbulkan keraguan terhadap status taraf anak yang bakal dilahirkan. 

Keperluan Akad yang Sah: Hubungan undang-undang dan syarak bagi tujuan prokreasi (zuriat) hanya bermula selepas lafaz akad nikah disempurnakan.

Kesimpulan Ringkas  Hanya benih yang diambil selepas pasangan sah bergelar suami isteri sahaja yang boleh digunakan untuk proses persenyawaan dalam makmal (IVF) atau rawatan kesuburan lain.  Adakah anda memerlukan penjelasan lanjut mengenai status taraf anak bagi prosedur ART yang dilakukan dalam tempoh perkahwinan yang sah?"
Q02,Sheikh GPT,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti. Apakah hukum mencantumkan benih yang dikeluarkan sebelum akad nikah dan dicantumkan dalam tempoh perkahwinan yang sah?,"Keputusan: HARAM
Mencantumkan benih (sperma dan ovum) yang dikeluarkan sebelum akad nikah, kemudian disenyawakan atau dimasukkan ke dalam rahim selepas akad nikah yang sah, adalah haram dan tidak dibenarkan menurut hukum Islam.  

Sebab Pengharaman  
1. Benih diperoleh dalam keadaan tidak sah dari sudut syarak    Jika benih dikeluarkan sebelum akad nikah, ia bukan dalam ikatan perkahwinan yang sah. Islam mensyaratkan bahawa proses pembiakan mestilah berlaku dalam tempoh hubungan suami isteri yang sah. 
 2. Syarat sah ART dalam Islam. Antara syarat utama keharusan rawatan reproduktif (ART) ialah Sperma dan ovum mestilah daripada pasangan suami isteri yang sah. Proses pengeluaran, persenyawaan dan pemindahan embrio mesti berlaku dalam tempoh perkahwinan yang sah.
3. Penjagaan nasab (keturunan) Islam meletakkan penjagaan nasab sebagai maqasid penting. Benih yang diperoleh sebelum akad tidak memenuhi syarat hubungan sah, walaupun persenyawaan berlaku selepas akad. 

Larangan Berkaitan 
Tidak dibenarkan menyimpan dan menggunakan benih yang diperoleh sebelum akad nikah.
Tidak dibenarkan melakukan persenyawaan berdasarkan benih yang dikeluarkan ketika tiada hubungan perkahwinan yang sah.  

Kesimpulan 
Hukum: HARAM
 Walaupun akad nikah telah sah ketika proses pencantuman dilakukan, status benih yang diperoleh sebelum akad menjadikannya tidak diharuskan.  Islam menetapkan bahawa seluruh proses reproduksi mestilah berlaku dalam ruang perkahwinan yang sah dari awal hingga akhir bagi menjaga kehormatan dan keturunan."
Q03,ChatGPT,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti.  Apakah hukum mencantumkan benih untuk mendapatkan zuriat yang diambil dan dicantumkan dalam tempoh perkahwinan yang sah?,"Keputusan: HARUS (Bersyarat)

Huraian Ringkas:
Mencantumkan benih (seperti melalui kaedah IVF atau ICSI) untuk mendapatkan zuriat adalah harus sekiranya benih diambil dan dicantumkan dalam tempoh perkahwinan yang sah. 
 
Syarat-syarat:
1. Sperma dan ovum mestilah daripada pasangan suami isteri yang sah sahaja.
2. Proses pengambilan dan persenyawaan dilakukan ketika perkahwinan masih sah (bukan selepas perceraian atau kematian). 
3. Tidak melibatkan pihak ketiga, seperti penderma sperma, penderma ovum atau ibu tumpang. 
4. Menjaga batas aurat dan hukum syarak sepanjang prosedur perubatan. 
5. Tidak berlaku pencampuran benih yang boleh menimbulkan kekeliruan nasab. 

Larangan Berkaitan:
Haram jika melibatkan benih daripada individu lain.
Tidak dibenarkan jika dilakukan selepas perkahwinan berakhir (cerai atau kematian suami).  

Ringkasnya, kaedah ini diharuskan dengan syarat yang ketat bagi menjaga keturunan (nasab) dan mematuhi prinsip syariah."
Q03,Gemini,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti.  Apakah hukum mencantumkan benih untuk mendapatkan zuriat yang diambil dan dicantumkan dalam tempoh perkahwinan yang sah?,"Berdasarkan garis panduan syarak dan fatwa yang diguna pakai di Malaysia mengenai Teknologi Reproduksi Berbantu (ART), berikut adalah penjelasan bagi situasi tersebut:

Keputusan Hukum: Harus / Diharuskan

Penggunaan kaedah sains (seperti IVF atau IUI) untuk mencantumkan benih suami dan isteri yang diambil serta dicantumkan dalam tempoh perkahwinan yang sah adalah diharuskan mengikut hukum Islam.  

Syarat-Syarat Utama  Walaupun diharuskan, prosedur ini tertakluk kepada syarat-syarat ketat bagi memastikan kesucian nasab: 

Pemilik Benih Sah: Sperma mestilah datang daripada suami yang sah, dan ovum mestilah daripada isteri yang sah. 

katan Perkahwinan Masih Wujud:Proses pengambilan benih, pencantuman (persenyawaan), dan pemindahan embrio ke dalam rahim mestilah dilakukan dalam tempoh pasangan tersebut masih dalam ikatan perkahwinan yang sah.

Rahim Isteri Sendiri: Embrio yang telah disenyawakan wajib dimasukkan semula ke dalam rahim isteri yang memiliki ovum tersebut. Penggunaan rahim wanita lain (ibu tumpang) adalah haram. 

Tiada Unsur Campur Tangan Pihak Ketiga: Penggunaan benih (sperma atau ovum) daripada penderma luar adalah dilarang sama sekali. 

Kawalan Prosedur:Prosedur mestilah dilakukan oleh pakar perubatan yang amanah bagi mengelakkan sebarang kesilapan atau pertukaran benih yang tidak disengajakan. 

Larangan
Kematian atau Perceraian: Jika suami meninggal dunia atau pasangan bercerai sebelum embrio dipindahkan ke dalam rahim, maka penggunaan benih atau embrio tersebut menjadi Haram. Ia tidak boleh diteruskan kerana ikatan perkahwinan telah terbatal mengikut hukum syarak.

Benih Simpanan Pra-Nikah:Seperti yang dibincangkan sebelum ini, benih yang diambil sebelum akad nikah tidak boleh digunakan walaupun pencantuman dibuat selepas nikah.  Adakah anda ingin saya jelaskan lebih terperinci mengenai status hukum penggunaan embrio yang telah dibekukan (frozen embryo) sekiranya berlaku kematian suami?"
Q03,Sheikh GPT,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti.  Apakah hukum mencantumkan benih untuk mendapatkan zuriat yang diambil dan dicantumkan dalam tempoh perkahwinan yang sah?,"Keputusan: HARUS (DIHARUSKAN)

Mencantumkan benih (sperma dan ovum) untuk mendapatkan zuriat yang diambil dan dicantumkan dalam tempoh perkahwinan yang sah adalah harus, dengan syarat-syarat tertentu dipatuhi.  

Syarat-Syarat Keharusan 
1. Sperma dan ovum mestilah daripada suami dan isteri yang sah
2. Pengambilan benih, proses persenyawaan (seperti IVF), dan pemindahan embrio mestilah dilakukan dalam tempoh perkahwinan yang masih sah
3. Tidak melibatkan pihak ketiga (tiada penderma sperma, ovum atau ibu tumpang).
 4. Embrio tidak dipindahkan selepas berlaku perceraian atau kematian salah seorang pasangan.
5. Prosedur dilakukan dengan menjaga aurat, maruah dan batas syarak setakat yang mampu.  

Larangan Berkaitan 
Tidak dibenarkan menggunakan sperma atau ovum daripada individu lain. 
Tidak dibenarkan memindahkan embrio selepas tamat perkahwinan (cerai atau kematian). 
Tidak dibenarkan melibatkan ibu tumpang.  

Kesimpulan 
Hukum: HARUS / DIHARUSKAN (Bersyarat)  Rawatan ART seperti IVF adalah dibenarkan dalam Islam di Malaysia selagi memenuhi syarat-syarat syarak dan menjaga nasab (keturunan).  Islam menggalakkan usaha mendapatkan zuriat melalui jalan yang halal dan terpelihara daripada unsur yang merosakkan nasab."
Q04,ChatGPT,Jawab soalan berikut berkaitan hukum Islam dan ART di Malaysia dalam Bahasa Melayu. Nyatakan keputusan dengan jelas (Haram / Harus / Diharuskan / Tidak Diharuskan / Bersyarat) dan senaraikan syarat atau larangan jika ada. Jangan tambah maklumat yang tidak pasti. Apakah hukum memasukkan embrio ke dalam rahim isteri selepas berlaku kematian suami atau penceraian?,"Keputusan: TIDAK DIHARUSKAN

Huraian Ringkas:Memasukkan embrio ke dalam rahim isteri selepas berlaku kematian suami atau penceraian adalah tidak diharuskan menurut hukum Islam. 
Sebab:
1. Ikatan perkahwinan telah terputus sama ada melalui kematian atau penceraian. 
2. Proses mendapatkan zuriat mestilah berlaku ketika perkahwinan masih sah. 
3. Boleh menimbulkan isu nasab, pewarisan dan status anak. 
4. Bertentangan dengan prinsip menjaga keturunan (hifz al-nasab). 

Larangan Berkaitan:
Tidak dibenarkan menggunakan embrio yang disimpan untuk tujuan kehamilan selepas suami meninggal dunia.
Tidak dibenarkan meneruskan rawatan ART selepas perceraian walaupun embrio terhasil ketika masih berkahwin.  

Ringkasnya, kehamilan melalui ART hanya dibenarkan dalam tempoh perkahwinan yang sah; selepas ia berakhir, perbuatan tersebut adalah tidak diharuskan."
