timestamp,topic_label,specific_issue,detection_confidence,reference_mode,reference_question_id,reference_question_text,best_state,final_match_score,mean_alignment,lexical_similarity,semantic_similarity,coverage,alignment_assessment_level,alignment_assessment_reason,recommendation_label,recommendation_reason,compliance_level,compliance_reason
2026-04-12 16:06:54,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,High,Exploration Mode,Q06,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,Muzakarah Majlis Kebangsaan,24.9,24.9,18.56,18.15,62.5,Low Alignment,The response is weakly aligned with the fatwa text and may omit or conflict with core conditions.,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,,
2026-04-12 16:44:45,IVF,Apakah status anak yang dilahirkan melalui kaedah bayi tabung uji dari segi wali dan harta pusaka?,Medium,,,,Muzakarah Majlis Kebangsaan,25.83,25.83,22.36,13.73,80.0,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:45,IVF,Apakah status anak yang dilahirkan melalui kaedah bayi tabung uji dari segi wali dan harta pusaka?,High,,,,Muzakarah Majlis Kebangsaan,26.97,26.97,22.67,13.01,90.0,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:45,IVF,Apakah status anak yang dilahirkan melalui kaedah bayi tabung uji dari segi wali dan harta pusaka?,High,,,,Muzakarah Majlis Kebangsaan,26.19,26.19,23.2,13.99,80.0,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:45,Abortion resulting from rape,Apakah hukum menggugurkan kandungan akibat rogol?,Medium,,,,Sarawak,42.44,42.44,51.02,24.48,100.0,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:46,Abortion resulting from rape,Apakah hukum menggugurkan kandungan akibat rogol?,High,,,,Sarawak,26.85,26.85,24.23,12.78,87.5,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:46,Abortion resulting from rape,Apakah hukum menggugurkan kandungan akibat rogol?,High,,,,Sarawak,31.92,31.92,33.44,17.39,87.5,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:46,Contraceptives for rape victims,Apakah hukum pemberian kontraseptif kepada mangsa rogol?,Medium,,,,Pahang,21.81,21.81,15.74,11.94,71.43,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:47,Contraceptives for rape victims,Apakah hukum pemberian kontraseptif kepada mangsa rogol?,High,,,,Pahang,20.88,20.88,19.02,9.02,71.43,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:44:47,Contraceptives for rape victims,Apakah hukum pemberian kontraseptif kepada mangsa rogol?,High,,,,Pahang,23.53,23.53,22.6,11.95,71.43,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:49:28,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,High,,,,Muzakarah Majlis Kebangsaan,47.15,47.15,19.86,52.12,72.73,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 16:50:08,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,High,,,,Muzakarah Majlis Kebangsaan,41.22,41.22,18.51,47.35,54.55,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
